Name,Passport,Snils,Symptoms,Analysis,Doctor,DateStart,DateEnd,Price,Card
Бочаров‎ Бажен Эдгарович,4500 512267,667-958-365 86,Слабость,КТ (компьютерная томография),Гематолог,2024-07-16T19:18+03:00,2024-07-17T15:47+03:00,2500.0,2200 7036 3838 2334
Стрелкова Владимира Евгеньевна,0412 996208,077-736-087 07,Затрудненное дыхание,Кровь (общий анализ),Онколог,2024-07-15T17:17+03:00,2024-07-16T19:13+03:00,9700.0,2202 2033 4906 2003
Родина Казимира Вадимовна,5208 367921,876-238-788 72,Головная боль,Рентгенография,Пульмонолог,2024-12-02T12:08+03:00,2024-12-03T13:30+03:00,5200.0,5244 6891 2781 0427
Боброва Златоцвета Андреевна,5202 807774,352-748-181 94,Затрудненное дыхание,Гастроэнтероскопия,Онкогинеколог,2025-04-18T16:33+03:00,2025-04-17T19:13+03:00,5500.0,2202 2002 1854 1472
Сидорова Звенислава Марковна,8517 525666,449-962-854 59,Боль в груди,Гастроэнтероскопия,Кардиолог,2025-01-29T18:44+03:00,2025-01-30T15:30+03:00,3200.0,4105 8400 6280 1043
Федосеева Светоcлава Олеговна,3304 337551,069-770-349 12,Кашель,УЗИ (ультразвуковое исследование),Гериатр,2025-04-29T16:15+03:00,2025-04-30T18:32+03:00,6300.0,5421 0419 3516 9555
Кудряшов‎ Добровлад Рустамович,8421 895305,787-166-882 76,Боль в груди,УЗИ (ультразвуковое исследование),Невролог,2025-02-25T14:16+03:00,2025-02-26T17:24+03:00,3600.0,5421 0476 6018 6005
Кочетков‎ Болеслав Никонович,1618 279536,278-539-996 60,Одышка,Кровь (общий анализ),Гериатр,2024-09-26T14:30+03:00,2024-09-27T14:31+03:00,2500.0,2202 1502 6423 8009
Львов‎ Будимир Никодимович,5823 206843,511-068-880 61,Одышка,Биохимический анализ крови,Гастроэнтеролог,2024-07-17T17:12+03:00,2024-07-18T20:37+03:00,3200.0,5101 2653 2241 2879
Карасёв‎ Истома Анатольевич,9616 628540,735-830-974 28,Одышка,Гастроэнтероскопия,Иммунолог,2024-09-13T20:09+03:00,2024-09-12T16:05+03:00,9300.0,4105 8489 5362 8043
Прохоров‎ Казимир Борисыч,6610 831877,207-702-342 35,Температура,МРТ (магнитно-резонансная томография),Офтальмолог,2025-03-17T20:48+03:00,2025-03-18T17:29+03:00,6400.0,5244 6882 3925 0427
Ткачёва Милодана Ильмировна,9519 201097,218-566-872 04,Боль в груди,УЗИ (ультразвуковое исследование),Кардиолог,2025-03-12T12:43+03:00,2025-03-13T14:23+03:00,4300.0,2202 1549 8856 2550
Березина Градислава Борисовна,0219 814062,860-662-055 07,Боль в груди,КТ (компьютерная томография),Неонатолог,2025-01-07T18:42+03:00,2025-01-08T14:02+03:00,8100.0,4105 8454 1478 8476
Дедова Любовь Михайловна,2603 197946,593-263-983 36,Слабость,УЗИ (ультразвуковое исследование),Пульмонолог,2024-11-04T13:30+03:00,2024-11-05T13:43+03:00,3000.0,2202 2017 4522 0547
Дубровина Гранислава Сахипзадовна,3917 578956,754-592-556 43,Одышка,Гастроэнтероскопия,Онкогинеколог,2024-10-18T15:59+03:00,2024-10-17T12:47+03:00,1600.0,5421 0410 5194 1958
Пименов‎ Будигост Тихонович,1017 205310,882-300-631 92,Кашель,Кровь (общий анализ),Оториноларинголог,2024-12-27T20:44+03:00,2024-12-26T20:28+03:00,6700.0,5244 6888 8664 2068
Антипов‎ Вук Феликсович,8420 291688,277-484-029 14,Повышенное давление,Биохимический анализ крови,Ортопед,2024-10-21T12:06+03:00,2024-10-22T20:13+03:00,1500.0,5101 2660 2448 1168
Савицкий‎ Мухомор Анисимович,1703 862969,433-254-141 45,Затрудненное дыхание,УЗИ (ультразвуковое исследование),Онколог,2024-09-06T14:29+03:00,2024-09-05T20:28+03:00,3100.0,2200 2465 5395 7183
Панков‎ Ермак Ефимович,9700 903121,277-415-171 89,Затрудненное дыхание,УЗИ (ультразвуковое исследование),Онкоуролог,2024-12-05T19:41+03:00,2024-12-06T17:44+03:00,6700.0,5421 0404 9040 4779
Жукова Радосвета Магомедовна,8114 040977,131-829-099 60,Температура,УЗИ (ультразвуковое исследование),Гепатолог,2025-04-07T17:52+03:00,2025-04-08T17:47+03:00,2500.0,4188 6883 1821 9628
Уварова Любица Авенировна,4809 905352,457-705-111 92,Затрудненное дыхание,КТ (компьютерная томография),Стоматолог,2024-07-18T18:38+03:00,2024-07-19T12:46+03:00,7300.0,5244 6829 3506 0014
Алёхина Лана Платоновна,7504 851063,975-248-209 49,Одышка,УЗИ (ультразвуковое исследование),Фтизиатр,2024-12-03T20:40+03:00,2024-12-04T20:04+03:00,4800.0,2202 1565 9029 9727
Лосев‎ Остромир Авдеевич,8603 125087,827-813-715 28,Насморк,МРТ (магнитно-резонансная томография),Гериатр,2024-08-28T20:06+03:00,2024-08-29T16:09+03:00,8800.0,2200 2470 2192 8732
Зайцева Всемысла Михайловна,9211 467024,462-327-990 98,Боль в груди,УЗИ (ультразвуковое исследование),Неонатолог,2024-07-26T18:11+03:00,2024-07-25T14:19+03:00,6700.0,4276 8097 7422 6189
Кочетов‎ Венцеслав Натанович,2218 997172,873-063-749 27,Температура,Биохимический анализ крови,Ревматолог,2025-04-15T20:07+03:00,2025-04-16T15:32+03:00,9100.0,2200 7015 1767 6461
Соболева Велислава Макаровна,3201 782115,066-353-808 76,Насморк,УЗИ (ультразвуковое исследование),Ревматолог,2024-10-03T19:19+03:00,2024-10-04T15:53+03:00,7600.0,2202 2077 2725 4444
Ермакова Добромира Валерьевна,2813 857233,437-255-092 85,Головная боль,Гастроэнтероскопия,Офтальмолог,2024-10-24T14:30+03:00,2024-10-25T20:03+03:00,6800.0,5244 6801 6367 8160
Давыдова Берислава Александровна,5602 284588,120-393-870 37,Слабость,КТ (компьютерная томография),Пульмонолог,2024-10-25T14:43+03:00,2024-10-24T12:45+03:00,4000.0,2202 2003 6882 5540
Дадина Забава Гавриловна,7104 793334,464-167-631 00,Головная боль,КТ (компьютерная томография),Лор,2025-01-17T19:19+03:00,2025-01-16T18:24+03:00,7900.0,2202 2092 9957 4946
Исаева Любава Марковна,7704 170084,531-026-025 18,Затрудненное дыхание,Биохимический анализ крови,УЗИ-специалист,2024-10-23T19:44+03:00,2024-10-24T15:39+03:00,2900.0,4105 8475 2065 2113
Ельцина Малуша Николаевна,4020 974428,792-167-160 26,Головная боль,Рентгенография,Ревматолог,2025-03-07T19:31+03:00,2025-03-06T12:22+03:00,3400.0,4377 7281 1393 3409
Логинов‎ Всемил Ильясович,1911 653800,160-528-310 39,Насморк,КТ (компьютерная томография),Оториноларинголог,2024-12-05T15:20+03:00,2024-12-06T15:41+03:00,7000.0,4276 8015 7661 3828
Шмелёв‎ Милобуд Каллистратович,1304 243657,773-321-118 84,Затрудненное дыхание,Рентгенография,Эндокринолог,2024-11-13T20:52+03:00,2024-11-14T20:08+03:00,1000.0,5101 2630 1168 8623
Суворов‎ Слободан Ахматович,7022 587850,003-268-972 37,Кашель,Электрокардиограмма (ЭКГ),Нефролог,2025-01-16T13:23+03:00,2025-01-17T18:52+03:00,9600.0,2200 7013 3719 1891
Савицкий‎ Людевит Ефимович,2900 938752,133-765-103 51,Боль в груди,УЗИ (ультразвуковое исследование),Неонатолог,2024-09-27T14:22+03:00,2024-09-26T15:38+03:00,6800.0,5101 2601 1190 8724
Меньшов‎ Судимир Макарович,1800 800493,482-856-299 42,Затрудненное дыхание,МРТ (магнитно-резонансная томография),Гепатолог,2025-01-09T15:43+03:00,2025-01-10T20:29+03:00,1600.0,5421 0466 3341 5528
Круглов‎ Строимир Андреевич,4504 757261,575-270-077 02,Насморк,Рентгенография,Гепатолог,2025-01-30T16:13+03:00,2025-01-31T18:54+03:00,3900.0,5101 2676 9544 4583
Акимов‎ Душан Бориславич,3300 635817,877-172-765 62,Одышка,УЗИ (ультразвуковое исследование),Ревматолог,2024-08-12T17:09+03:00,2024-08-13T16:41+03:00,5600.0,5421 0499 3301 2687
Строев‎ Звонимир  Вахтангович,0623 450169,359-571-497 34,Слабость,МРТ (магнитно-резонансная томография),Стоматолог,2024-11-18T12:12+03:00,2024-11-19T17:39+03:00,8300.0,2202 2097 4288 2672
Ермакова Людмила Львовна,8304 083324,075-820-823 79,Слабость,Кровь (общий анализ),Гастроэнтеролог,2024-12-12T16:27+03:00,2024-12-13T17:00+03:00,3600.0,2200 7030 2467 8400
Демьянова Цветана Ильмировна,9815 571273,869-139-830 68,Температура,Биохимический анализ крови,Ревматолог,2024-12-17T16:44+03:00,2024-12-18T20:25+03:00,3800.0,4188 6860 1962 5027
Никонов‎ Жизномир Вениаминович,0605 010538,298-351-560 18,Повышенное давление,КТ (компьютерная томография),Онкогинеколог,2024-12-05T14:48+03:00,2024-12-06T19:55+03:00,5100.0,2202 1536 1201 6228
Масленников‎ Мужедраг Тихонович,5018 564219,030-242-195 90,Кашель,УЗИ (ультразвуковое исследование),Гастроэнтеролог,2025-02-03T15:34+03:00,2025-02-04T16:30+03:00,7600.0,4105 8497 5096 6491
Афанасьева Цветава Филипповна,1420 548392,042-417-758 41,Затрудненное дыхание,МРТ (магнитно-резонансная томография),Гастроэнтеролог,2025-01-20T17:31+03:00,2025-01-21T14:04+03:00,5900.0,2202 1534 4467 5097
Савельева Красимира Ахматовна,6515 065832,984-574-654 84,Насморк,МРТ (магнитно-резонансная томография),Гематолог,2025-01-14T18:01+03:00,2025-01-15T16:02+03:00,5300.0,5479 4871 8030 5578
Постников‎ Дарён Дорофеевич,9215 527877,985-381-439 67,Слабость,УЗИ (ультразвуковое исследование),Гериатр,2024-12-30T20:14+03:00,2024-12-31T21:02+03:00,1300.0,2200 2429 6133 4913
Воронов‎ Истислав Валерьевич,9312 487000,227-101-214 04,Головная боль,Рентгенография,Гастроэнтеролог,2025-01-23T16:38+03:00,2025-01-24T16:19+03:00,7300.0,5101 2646 7785 9806
Платонов‎ Твердимир  Юльевич,1100 740689,913-200-846 59,Боль в груди,Кровь (общий анализ),Неонатолог,2024-08-16T12:07+03:00,2024-08-15T19:00+03:00,7400.0,2200 2404 6446 2482
Калачев‎ Жизнобуд Всеволодович,5001 519039,325-739-980 12,Боль в груди,Гастроэнтероскопия,Гепатолог,2025-03-14T17:27+03:00,2025-03-13T20:09+03:00,7000.0,4377 7232 0224 8710
Заец Венцеслава Магометовна,5416 274053,086-686-626 32,Боль в горле,Электрокардиограмма (ЭКГ),Кардиоревматолог,2024-10-10T18:31+03:00,2024-10-11T17:44+03:00,7100.0,4188 6826 5515 9685
Чижов‎ Четвертак Тихонович,7606 650849,527-002-438 43,Температура,Кровь (общий анализ),Лор,2025-04-08T13:51+03:00,2025-04-09T17:51+03:00,1900.0,4188 6803 6131 3043
Карасёв‎ Горислав  Ефимьевич,3717 119320,024-823-586 50,Головная боль,Биохимический анализ крови,Лор,2024-12-27T16:17+03:00,2024-12-26T12:36+03:00,6400.0,5244 6885 6416 0781
Троицкая Горица Владимировна,9716 425203,954-796-075 77,Кашель,КТ (компьютерная томография),Стоматолог,2024-11-07T14:02+03:00,2024-11-08T13:58+03:00,6500.0,5421 0423 2671 8676
Зайцева Миломира Фёдоровна,7320 602459,953-381-997 54,Повышенное давление,КТ (компьютерная томография),Диетолог,2025-03-12T18:47+03:00,2025-03-13T19:15+03:00,7700.0,4105 8409 1843 9290
Большаков‎ Лютовлад Емельянович,1407 334630,735-546-009 03,Слабость,МРТ (магнитно-резонансная томография),Психиатр,2025-03-11T12:13+03:00,2025-03-12T13:06+03:00,1500.0,2200 2489 7966 7355
Звягинцева Берислава Георгиевна,9515 869700,526-180-979 98,Головная боль,Кровь (общий анализ),Нефролог,2025-03-27T19:10+03:00,2025-03-28T20:51+03:00,7200.0,4188 6866 7327 8788
Ефремов‎ Жирослав Авдеевич,1703 075182,979-601-375 66,Кашель,УЗИ (ультразвуковое исследование),Гепатолог,2024-08-02T17:57+03:00,2024-08-01T15:20+03:00,6800.0,5421 0495 2349 0861
Ананьева Миломира Сидоровна,9321 102739,669-689-969 22,Головная боль,УЗИ (ультразвуковое исследование),Эндоскопист,2025-04-04T15:59+03:00,2025-04-03T17:11+03:00,8100.0,5421 0492 9092 0642
Кроликов‎ Станислав  Ефремович,0800 124929,990-138-962 45,Повышенное давление,Биохимический анализ крови,Неонатолог,2024-11-29T17:23+03:00,2024-11-28T18:18+03:00,1400.0,4276 8035 6671 5967
Степанов‎ Росслав  Харламович,0401 201329,589-423-985 64,Повышенное давление,Электрокардиограмма (ЭКГ),Лор,2025-03-06T19:20+03:00,2025-03-07T18:37+03:00,8100.0,4276 8020 9100 5984
Иванова Ружица Степановна,4911 646771,619-562-689 34,Кашель,КТ (компьютерная томография),Эндоскопист,2024-09-05T14:48+03:00,2024-09-06T16:44+03:00,5000.0,2202 2076 0666 6992
Артамонов‎ Ахмыл Батькович,0212 098774,054-599-773 15,Боль в груди,Электрокардиограмма (ЭКГ),Онкогинеколог,2024-08-23T16:39+03:00,2024-08-22T17:38+03:00,2700.0,4377 7208 0766 2832
Моргунов‎ Световид Никонович,3905 703803,088-934-617 30,Одышка,Кровь (общий анализ),Эндоскопист,2025-01-16T18:09+03:00,2025-01-17T12:28+03:00,3200.0,2202 1514 1783 3802
Болдырев‎ Мстислав Вениаминович,7302 810791,476-657-653 52,Слабость,МРТ (магнитно-резонансная томография),Ревматолог,2024-08-16T15:52+03:00,2024-08-15T13:34+03:00,3000.0,5244 6807 6609 5259
Чеботарёв‎ Духовлад Прокопович,0316 538169,790-105-775 00,Повышенное давление,Кровь (общий анализ),УЗИ-специалист,2025-02-06T19:19+03:00,2025-02-07T15:58+03:00,5000.0,5479 4866 3635 9127
Шмелёва Горица Витальевна,1912 381950,672-975-245 50,Затрудненное дыхание,Биохимический анализ крови,Неонатолог,2024-09-23T19:27+03:00,2024-09-24T18:44+03:00,6700.0,5421 0441 7821 3656
Ананьева Милослава Прохоровна,4008 203691,409-417-867 98,Повышенное давление,Кровь (общий анализ),Онкоуролог,2024-08-23T19:00+03:00,2024-08-22T15:07+03:00,8200.0,5101 2696 8117 0770
Сёмина Прибыслава Магомедовна,7803 202013,293-203-587 72,Затрудненное дыхание,Гастроэнтероскопия,Эндокринолог,2025-01-22T14:00+03:00,2025-01-23T14:18+03:00,2400.0,5101 2638 0450 6584
Галкина Бажена  Мунавировна,5317 126834,903-965-709 34,Боль в груди,Биохимический анализ крови,Гастроэнтеролог,2025-01-23T19:53+03:00,2025-01-24T19:17+03:00,10000.0,2202 2080 7408 0580
Гакабов‎ Лад Евграфович,2801 268221,504-182-295 55,Одышка,Рентгенография,Пульмонолог,2024-09-10T19:49+03:00,2024-09-11T20:48+03:00,7000.0,2200 7098 3712 1974
Суслов‎ Беримир Елисеевич,6902 396473,363-335-943 86,Слабость,Гастроэнтероскопия,Фтизиатр,2024-07-16T19:20+03:00,2024-07-17T16:45+03:00,7200.0,5244 6898 2690 0219
Черных Дарина Авенировна,8619 515757,553-151-105 48,Насморк,Электрокардиограмма (ЭКГ),Офтальмолог,2024-09-26T12:16+03:00,2024-09-27T13:44+03:00,7400.0,4105 8405 0065 1085
Кузнецов‎ Хотен Бориславович,2408 104943,147-158-092 72,Температура,КТ (компьютерная томография),Офтальмолог,2025-03-19T20:04+03:00,2025-03-20T21:00+03:00,6200.0,4188 6860 1588 3024
Ковалёв‎ Третьяк Владиславович,8008 890159,228-633-004 56,Боль в груди,Электрокардиограмма (ЭКГ),Нефролог,2024-12-05T18:19+03:00,2024-12-06T18:16+03:00,3200.0,5101 2634 7001 1925
Федотов‎ Миловид Гордеевич,2618 482061,413-084-640 46,Слабость,МРТ (магнитно-резонансная томография),Гастроэнтеролог,2024-10-08T13:02+03:00,2024-10-09T14:09+03:00,6200.0,2200 7018 1297 0522
Корнев‎ Алень Магометович,2613 086361,059-646-531 03,Одышка,МРТ (магнитно-резонансная томография),Пульмонолог,2024-10-25T17:13+03:00,2024-10-24T19:21+03:00,5600.0,4377 7252 0870 7370
Андрианов‎ Людмил Валерьянович,9007 457019,021-628-438 26,Боль в груди,Биохимический анализ крови,УЗИ-специалист,2025-03-21T15:33+03:00,2025-03-20T15:33+03:00,3700.0,2200 2443 3226 9136
Дадаева Градислава Никифоровна,7406 474676,547-699-568 76,Кашель,МРТ (магнитно-резонансная томография),Гастроэнтеролог,2024-07-16T13:35+03:00,2024-07-17T16:31+03:00,2000.0,4105 8418 6324 9260
Мишустин‎ Тихомир Филиппович,4021 772401,731-784-311 02,Повышенное давление,Гастроэнтероскопия,Дерматолог,2024-11-21T17:39+03:00,2024-11-22T20:38+03:00,3400.0,4188 6848 0688 5305
Берия‎ Чеслав Всеволодович,0117 876439,989-585-229 14,Слабость,Биохимический анализ крови,Онкодерматолог,2025-02-04T18:22+03:00,2025-02-05T18:40+03:00,1200.0,5244 6838 1580 7898
Алёшина Часлава Яковлевна,4918 444669,583-913-722 26,Затрудненное дыхание,Рентгенография,Онкоуролог,2025-02-07T18:29+03:00,2025-02-06T12:08+03:00,7900.0,5244 6807 6873 2549
Воронин‎ Милобуд Ивсталинович,7716 856176,412-795-633 91,Насморк,УЗИ (ультразвуковое исследование),Эндоскопист,2025-02-05T19:50+03:00,2025-02-06T17:37+03:00,4300.0,2200 7081 4673 0416
Хохлов Милан Ильич,8816 845292,371-641-818 83,Затрудненное дыхание,Гастроэнтероскопия,Ревматолог,2025-02-20T16:29+03:00,2025-02-21T17:12+03:00,7400.0,5244 6812 9747 4897
Швецова Горислава Соломоновна,8713 052138,636-605-938 15,Насморк,УЗИ (ультразвуковое исследование),Ревматолог,2025-04-21T16:48+03:00,2025-04-22T17:42+03:00,2500.0,2202 2039 3554 7371
Герасимов‎ Милан Ермилович,6111 157715,331-088-844 65,Одышка,Рентгенография,Кардиолог,2025-02-14T18:14+03:00,2025-02-13T19:24+03:00,1600.0,4105 8481 4442 8634
Еремеева Ясна Ильнуровна,7404 153758,309-390-994 00,Кашель,Рентгенография,Генетик,2024-10-17T14:43+03:00,2024-10-18T19:20+03:00,8200.0,5479 4822 9600 1330
Некрасов‎ Златомир Владленович,7615 004436,434-349-822 91,Затрудненное дыхание,Рентгенография,Косметолог,2025-01-31T19:22+03:00,2025-01-30T19:26+03:00,3700.0,2200 2485 8865 5867
Широков‎ Моисей Ильнурович,1912 866398,145-082-290 47,Одышка,МРТ (магнитно-резонансная томография),Офтальмолог,2025-04-30T18:52+03:00,2025-05-01T16:42+03:00,1700.0,5479 4866 2326 0836
Корольков‎ Яровид Глебович,8501 140464,766-485-832 67,Повышенное давление,УЗИ (ультразвуковое исследование),Кардиоревматолог,2025-02-03T19:35+03:00,2025-02-04T16:35+03:00,4900.0,4377 7232 9915 5900
Черняев‎ Возгарь Антонович,7203 119903,865-618-747 62,Температура,Биохимический анализ крови,Стоматолог,2025-02-04T14:58+03:00,2025-02-05T17:44+03:00,3300.0,4105 8479 4123 8195
Постников‎ Миловид Исидорович,1821 789274,399-795-065 84,Затрудненное дыхание,Биохимический анализ крови,Генетик,2024-08-12T20:05+03:00,2024-08-13T16:16+03:00,8000.0,5244 6881 9891 5164
Агеева Милана Сергеевна,2606 527995,336-314-549 63,Слабость,Биохимический анализ крови,Лор,2024-10-31T17:31+03:00,2024-11-01T16:27+03:00,9600.0,5244 6812 8097 7042
Черных Бояна Денисовна,6923 070370,958-013-931 26,Одышка,Гастроэнтероскопия,Стоматолог,2025-03-10T16:05+03:00,2025-03-11T15:57+03:00,9500.0,4276 8008 9458 2529
Дорохова Святослава Вениаминовна,4803 914816,127-248-297 68,Боль в груди,Гастроэнтероскопия,Онкоуролог,2025-03-12T13:44+03:00,2025-03-13T17:02+03:00,9600.0,4276 8037 0018 1125
Коновалов‎ Возгарь Антипович,0309 751706,721-441-902 62,Температура,УЗИ (ультразвуковое исследование),Гепатолог,2025-03-19T19:14+03:00,2025-03-20T16:27+03:00,1800.0,2200 2481 1707 9813
Пименов‎ Воислав Леонидович,7023 698292,844-204-337 81,Насморк,Гастроэнтероскопия,Эндокринолог,2024-12-05T20:44+03:00,2024-12-06T15:08+03:00,1700.0,2202 1594 7148 3978
Быков‎ Доброжир Гертрудович,3206 907900,143-641-613 44,Одышка,УЗИ (ультразвуковое исследование),Уролог,2024-11-08T17:31+03:00,2024-11-07T13:19+03:00,2500.0,4105 8472 8138 6900
Светлов‎ Монислав Тарасович,8513 920990,240-349-248 45,Кашель,УЗИ (ультразвуковое исследование),Эндокринолог,2024-11-22T19:28+03:00,2024-11-21T18:28+03:00,2100.0,5244 6886 2187 9526
Гноева Всемила Григорьевна,1822 037840,795-455-875 80,Одышка,МРТ (магнитно-резонансная томография),Травматолог,2025-01-02T17:35+03:00,2025-01-03T19:15+03:00,5000.0,4377 7226 4651 9511
Владимирова Богдана Георгиевна,8311 156746,708-569-633 40,Головная боль,Электрокардиограмма (ЭКГ),Фтизиатр,2025-03-21T17:51+03:00,2025-03-20T14:04+03:00,9100.0,5479 4835 6196 0773
Суханова Казимира Рудольфовна,5609 393413,536-473-241 96,Головная боль,Биохимический анализ крови,Кардиолог,2025-04-22T14:37+03:00,2025-04-23T13:28+03:00,10000.0,5244 6844 7743 1597
Малышев‎ Мох Леонович,3523 895126,982-985-237 90,Кашель,Электрокардиограмма (ЭКГ),Педиатр,2025-04-03T13:01+03:00,2025-04-04T20:54+03:00,2300.0,2200 2478 7408 5487
Зорин‎ Ёрш Валерианович,6912 625040,332-340-341 20,Насморк,Гастроэнтероскопия,Психиатр,2024-07-29T14:13+03:00,2024-07-30T13:36+03:00,7500.0,4276 8062 7124 3212
Дементьева Сбыслава Гаджиевна,6012 514427,100-113-368 61,Повышенное давление,МРТ (магнитно-резонансная томография),Гематолог,2024-07-18T19:11+03:00,2024-07-19T18:20+03:00,6000.0,5101 2689 7094 4213
Сурганов‎ Томислав Владленович,6818 282627,365-479-263 24,Слабость,Биохимический анализ крови,Гастроэнтеролог,2024-12-20T16:35+03:00,2024-12-19T20:10+03:00,1900.0,2202 2065 1065 5360
Аникин‎ Милан Ермилович,3208 401998,486-102-720 80,Одышка,Рентгенография,Ревматолог,2025-03-21T15:50+03:00,2025-03-20T19:48+03:00,5500.0,4188 6839 1845 2531
Ефремова Веселина Сахипзадовна,7505 361701,605-429-509 82,Одышка,МРТ (магнитно-резонансная томография),Нефролог,2024-09-06T18:34+03:00,2024-09-05T13:04+03:00,4700.0,4276 8013 0373 7177
Щеглова Здислава Григорьевна,6518 211778,403-434-142 24,Насморк,Биохимический анализ крови,Дерматолог,2024-08-02T13:16+03:00,2024-08-01T15:35+03:00,7300.0,4105 8429 8251 1187
Гакабов‎ Истислав Ахматович,3610 176159,312-878-045 76,Одышка,КТ (компьютерная томография),Ортопед,2024-10-14T18:49+03:00,2024-10-15T16:01+03:00,1800.0,2202 1575 2746 6996
Галкина Станимира Тимофеевна,9909 697565,965-711-522 34,Насморк,Гастроэнтероскопия,Лор,2025-02-27T14:17+03:00,2025-02-28T19:04+03:00,7200.0,4377 7289 3780 5914
Кравцов‎ Пересвет Адамович,7507 618363,085-090-562 72,Затрудненное дыхание,Биохимический анализ крови,Гепатолог,2024-09-17T13:23+03:00,2024-09-18T16:15+03:00,7100.0,2202 2006 7907 5114
Горячев‎ Миродар Вольфович,2815 056646,833-193-965 22,Одышка,МРТ (магнитно-резонансная томография),Нефролог,2025-01-24T17:30+03:00,2025-01-23T17:30+03:00,8500.0,4377 7261 0950 8213
Николаев‎ Осьмой Даниилович,5309 126876,331-454-114 31,Температура,Кровь (общий анализ),Неонатолог,2025-03-21T19:16+03:00,2025-03-20T13:57+03:00,6700.0,2202 1576 1569 2275
Тарасов‎ Креслав Исаевич,1013 869587,506-849-804 17,Повышенное давление,Гастроэнтероскопия,Пульмонолог,2024-11-26T14:21+03:00,2024-11-27T19:59+03:00,4000.0,4105 8469 9211 5609
Безруков‎ Братислав Андреевич,5807 443097,867-443-287 52,Насморк,Биохимический анализ крови,Иммунолог,2025-02-06T18:58+03:00,2025-02-07T12:30+03:00,1400.0,4188 6873 1666 3833
Алешина Людмила Соломоновна,0502 501901,958-785-774 15,Одышка,УЗИ (ультразвуковое исследование),Педиатр,2024-08-30T19:56+03:00,2024-08-29T12:39+03:00,2400.0,5421 0463 2662 3417
Богданов‎ Славомир Теймуразович,1922 803921,312-810-634 29,Одышка,УЗИ (ультразвуковое исследование),Оториноларинголог,2024-09-04T13:07+03:00,2024-09-05T13:09+03:00,7600.0,4276 8057 2734 3423
Баженов‎ Осьмой Викторович,7222 944929,537-852-203 06,Насморк,Электрокардиограмма (ЭКГ),Гастроэнтеролог,2024-09-30T12:13+03:00,2024-10-01T12:31+03:00,5700.0,5421 0410 3073 2304
Малахов‎ Стоум Вадимович,1005 718192,920-256-385 87,Повышенное давление,Рентгенография,Кардиоревматолог,2024-12-13T16:46+03:00,2024-12-12T16:25+03:00,8100.0,2200 2462 8330 0532
Глухова Цветава Валентиновна,2717 090173,520-601-174 21,Одышка,Рентгенография,Офтальмолог,2024-10-11T16:42+03:00,2024-10-10T16:08+03:00,5200.0,4377 7217 3691 8084
Богомолова Бояна Авенировна,4704 351800,522-331-516 34,Температура,КТ (компьютерная томография),Ревматолог,2025-01-22T14:31+03:00,2025-01-23T19:08+03:00,2000.0,2200 7069 6760 5456
Кролик‎ Сом Никифорович,1300 130888,679-028-416 33,Боль в груди,Рентгенография,Эндоскопист,2025-04-10T12:56+03:00,2025-04-11T15:01+03:00,2700.0,5421 0472 9837 2841
Павлов‎ Лада Вадимович,7305 433026,440-752-726 73,Одышка,Гастроэнтероскопия,Невролог,2024-07-26T16:41+03:00,2024-07-25T18:48+03:00,5900.0,5244 6869 5807 2407
Трофимов‎ Борис Платонович,0904 815355,077-269-947 23,Повышенное давление,МРТ (магнитно-резонансная томография),Ревматолог,2025-03-28T13:14+03:00,2025-03-27T15:32+03:00,3900.0,5421 0445 4177 6922
Ермолова Градислава Глебовна,4505 774884,000-561-798 10,Температура,МРТ (магнитно-резонансная томография),Гепатолог,2024-10-18T18:27+03:00,2024-10-17T19:18+03:00,3500.0,5244 6877 4196 0546
Олейников‎ Георгий Елисеевич,7310 830234,142-574-736 68,Слабость,МРТ (магнитно-резонансная томография),Невролог,2024-08-29T18:07+03:00,2024-08-30T12:38+03:00,1700.0,4276 8003 7518 7763
Грибова Радосвета Никифоровна,9514 264880,750-554-215 86,Слабость,Кровь (общий анализ),Кардиоревматолог,2025-01-28T17:09+03:00,2025-01-29T18:56+03:00,7300.0,2200 7063 5751 1170
Зюганова Всемысла Платоновна,0806 878428,317-029-921 61,Слабость,УЗИ (ультразвуковое исследование),Офтальмолог,2025-04-10T16:39+03:00,2025-04-11T20:14+03:00,9900.0,5101 2690 8141 4312
Пирогов‎ Креслав Артурович,0418 406440,465-262-142 81,Затрудненное дыхание,Гастроэнтероскопия,УЗИ-специалист,2025-04-08T18:08+03:00,2025-04-09T20:39+03:00,7100.0,2200 2413 8066 1413
Медведев‎ Часлав Исаевич,5015 305245,666-846-753 68,Кашель,Биохимический анализ крови,Гастроэнтеролог,2025-02-28T12:04+03:00,2025-02-27T19:32+03:00,9500.0,5479 4847 2948 8467
Ерёмин‎ Богомил Алексеевич,5121 968988,509-055-147 70,Боль в груди,Кровь (общий анализ),Онкогинеколог,2025-02-03T15:41+03:00,2025-02-04T17:39+03:00,6900.0,4276 8002 5736 4316
Бочарова Преслава Каллиниковна,7819 115657,749-595-893 96,Насморк,КТ (компьютерная томография),Неонатолог,2024-11-29T18:41+03:00,2024-11-28T14:50+03:00,1600.0,5244 6886 9645 0951
Анисимова Надежда Андреевна,3418 626016,123-638-804 56,Одышка,УЗИ (ультразвуковое исследование),Кардиоревматолог,2024-08-01T15:50+03:00,2024-08-02T15:47+03:00,6600.0,4188 6867 7325 4876
